 Articles
Title	Date	Authors	Abstract	Link
Rasch-Preselected Items: An Optimal Approach in Item-based Evaluation	Oct 2023	Reza Khany, Mahdieh Fakhar Shahreza, Maria Elena Barcena Madera	This study proposes an optimal approach in item-based evaluation using Rasch-preselected items.	Link
The study of EFL Students' Self-Regulation, Locus of Control, and Academic Achievement through Mobile-Assisted Language Learning; The Case of Duolingo® App	May 2023	Mahdieh Fakhar Shahreza, Maria Elena Barcena Madera, Reza Khany	This study examines the effectiveness of the Duolingo® app on students' academic achievement, self-regulation, and locus of control.	Link
Social media in higher education: case studies, reflections and analysis	Oct 2022	Mahdieh Fakhar Shahreza	This article provides case studies and reflections on the use of social media in higher education.	Link
Development, Factor Analysis, and Validation of an EFL Teacher Change Scale (TCS)	Jan 2016	Reza Khany, Mahdieh Fakhar Shahreza	This research develops and validates a scale to measure teacher change in EFL contexts.	Link

📑 Conference Papers
Title	Date	Authors	Abstract	Link
Visualized Network of Online Interactions in an Ed-Tech Enhanced EFL Language Learning Context Using Gephi Software	May 2023	Reza Khany, Mahdieh Fakhar Shahreza	This study utilizes Social Network Analysis to examine online interactions in an EFL learning context enhanced by educational technology.	Link
Investigating the effects of teachers' self-leadership on their professional development and change	May 2023	Reza Khany, Mahdieh Fakhar Shahreza	This research investigates the relationship between EFL teachers' self-leadership and their professional development and change.	Link
Investigating the Impacts of an Online Writing Platform on EFL Students' Writing and Critical Thinking Skills; The Case of Medium App	Sep 2022	Reza Khany, Mahdieh Fakhar Shahreza	This study explores the impact of the Medium app on EFL students' writing and critical thinking skills.	Link
Iranian University Students’ Familiarity with Digital Portfolio Creation Tools during the COVID-19 Pandemic: Merits, Demerits	May 2021	Mohammad Aliakbari, Mahdieh Fakhar Shahreza	This paper examines Iranian university students' familiarity with digital portfolio tools during the COVID-19 pandemic.	Link
Research on Educational Technology Evaluation in Journal of Computer and Education; Implications for English Language Teaching	Nov 2019	Reza Khany, Mahdieh Fakhar Shahreza	This study reviews research on educational technology evaluation and its implications for English language teaching.	Link
Subjectivity and Objectivity in Discussion Sections of Iranian M.A. Thesis and Ph.D. Dissertations; the Case of Hard and Soft Science Fields of Studies	Oct 2019	Reza Khany, Mahdieh Fakhar Shahreza	This research investigates subjectivity and objectivity in discussion sections of Iranian theses and dissertations across different fields.	Link
An Exploration of Iranian EFL Stakeholders’ Attitudes and Knowledge of Different	Sep 2019	Reza Khany, Mahdieh Fakhar Shahreza	This study explores Iranian EFL stakeholders' attitudes and knowledge regarding various educational technologies.	Link
An Ecological Exploration of Iranian EFL Students’ Self-change, Self-construal, and Change Management through Classroom Communication Tasks	May 2018	Reza Khany, Mahdieh Fakhar Shahreza	This research examines factors affecting Iranian EFL students' self-change and change management through classroom tasks.	Link
Paralogism, ambiguity, and circumlocution: do compensation strategies help?	May 2017	Reza Khany, Mahdieh Fakhar Shahreza	This study investigates the use of compensation strategies in addressing paralogism, ambiguity, and circumlocution in communication.	Link
Iranian EFL students' pragmatic self-assessment revisited	May 2016	Reza Khany, Mahdieh Fakhar Shahreza	This paper revisits Iranian EFL students' approaches to pragmatic self-assessment in language learning.	Link
The equation of critical thinking skills, professional identity and professional development in Iranian EFL teaching context	May 2016	Reza Khany, Mahdieh Fakhar Shahreza	This research examines the relationship between critical thinking skills, professional identity, and professional development among Iranian EFL teachers.	Link
Language learning through WhatsApp or telegram, which court is the ball in?	May 2016	Mohammad Aliakbari, Mahdieh Fakhar Shahreza	This study compares the effectiveness of WhatsApp and Telegram in facilitating language learning.	Link
Professional change, professional identity, and professional development of Iranian beginner vs. experienced teachers	May 2015	Reza Khany, Mahdieh Fakhar Shahreza	This research compares professional change, identity, and development between beginner and experienced Iranian EFL teachers.	Link

