Articles				
				
Title	Date	Authors	Abstract (Excerpt)	Link ( Read Article )
Rasch-Preselected Items: An Optimal Approach in Item-based Evaluation	Oct-23	Reza Khany, Mahdieh Fakhar Shahreza, Maria Elena Barcena Madera	This study proposes an optimal approach in item-based evaluation by utilizing Rasch-preselected items to enhance assessment accuracy and efficiency.	https://www.researchgate.net/publication/370591206_Rasch-Preselected_Items_An_Optimal_Approach_in_Item-based_Evaluation
The study of EFL Students' Self-Regulation, Locus of Control, and Academic Achievement through Mobile-Assisted Language Learning; The Case of Duolingo® App	May-23	Mahdieh Fakhar Shahreza, Maria Elena Barcena Madera, Reza Khany	This study examines the effectiveness of the Duolingo® app on students' academic achievement, focusing on self-regulation and locus of control among EFL learners.	https://www.researchgate.net/publication/370590863_The_study_of_EFL_Students_Self-Regulation_Locus_of_Control_and_Academic_Achievement_through_Mobile-Assisted_Language_Learning_The_Case_of_Duolingo_App
Social media in higher education: case studies, reflections and analysis	Oct-22	Mahdieh Fakhar Shahreza	This article reflects on the role of social media in higher education, analyzing various case studies to understand its impact on teaching and learning processes.	https://www.researchgate.net/publication/364507413_Social_media_in_higher_education_case_studies_reflections_and_analysis
Development, Factor Analysis, and Validation of an EFL Teacher Change Scale (TCS)	Jan-16	Reza Khany, Mahdieh Fakhar Shahreza	The study focuses on developing and validating a reliable scale to measure teacher change in EFL contexts, providing insights into professional development and instructional transformation.	https://www.researchgate.net/publication/370590863_Development_Factor_Analysis_and_Validation_of_an_EFL_Teacher_Change_Scale_TCS
				
				
📚 Conference Papers				
				
Title	Date	Authors	Abstract (Excerpt)	Link ( Read Article )
Visualized Network of Online Interactions in an Ed-Tech Enhanced EFL Language Learning Context Using Gephi Software	May-23	Reza Khany, Mahdieh Fakhar Shahreza	This study utilizes Social Network Analysis (SNA) to explore interactions in an EFL learning context enhanced by educational technology, employing Gephi software for visualization.	https://www.researchgate.net/publication/370590862_Visualized_Network_of_Online_Interactions_in_an_Ed-Tech_Enhanced_EFL_Language_Learning_Context_Using_Gephi_Software
Investigating the effects of teachers' self-leadership on their professional development and change	May-23	Reza Khany, Mahdieh Fakhar Shahreza	The paper investigates the relationship between EFL teachers' self-leadership and their professional development and change, using Structural Equation Modeling (SEM) for data analysis.	https://www.researchgate.net/publication/370590861_Investigating_the_effects_of_teachers_self-leadership_on_their_professional_development_and_change
Investigating the Impacts of an Online Writing Platform on EFL Students' Writing and Critical Thinking Skills; The Case of Medium App	Sep-22	Reza Khany, Mahdieh Fakhar Shahreza	This study examines the impact of the Medium app as an online writing platform on EFL students' writing and critical thinking skills, highlighting the benefits of learner-contributed approaches.	https://www.researchgate.net/publication/370590860_Investigating_the_Impacts_of_an_Online_Writing_Platform_on_EFL_Students_Writing_and_Critical_Thinking_Skills_The_Case_of_Medium_App
